suara_non_dapil_sah,alasan_suara_non_dapil_tidak_sah,suara_dapil_sah,alasan_suara_dapil_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_dapil,dapil_tercatat,terdaftar,dapil_benar,dapil_sesuai,pilihan_gubernur,pilihan_dpm,pilihan_himatro,pilihan_hmti
true,,true,,2021-01-04 09:16:38 +0700 +07,true,dec072df784a598116a6e86d124b5db5,student,TEKNIK MESIN,TEKNIK MESIN,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,17. LILIK MAULIDA KHASANAH,,
true,,true,,2021-01-04 09:16:57 +0700 +07,true,8c67111cb54197e1ab0422f9f38ff0e4,student,TEKNIK INFORMATIKA,TEKNIK INFORMATIKA,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,
true,,true,,2021-01-04 09:17:23 +0700 +07,true,1918069167e6afea8b0505c21d592ba6,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,2. NICKYO PUTRA ARBAATA / FATHUR RAHMAN IRVANSYAH
true,,true,,2021-01-04 09:17:25 +0700 +07,true,0f73ae6aae630d7a180891bb2d540a3c,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,1. M. FAHRI SYAIFARRAHMAN / MUHAMMAD MUFID APRIANTO
true,,true,,2021-01-04 09:17:26 +0700 +07,true,2be21a800eb86ae3b5ab31ab32ab7d5d,student,TEKNIK INFORMATIKA,TEKNIK INFORMATIKA,true,true,,2. MOH. IRSAD / FIKRI ROLLY GUNAWAN,01. ROBIATUL ADAWIYAH,,
true,,true,,2021-01-04 09:17:27 +0700 +07,true,4bf108852738a98d18dbe01b53125f06,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,04. KHARISMA HILMY DWI IFANGGA,,2. NICKYO PUTRA ARBAATA / FATHUR RAHMAN IRVANSYAH
true,,true,,2021-01-04 09:17:30 +0700 +07,true,78423280f20b86b6dcc650006a47b515,student,TEKNIK MEKATRONIKA,TEKNIK MEKATRONIKA,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,14. ELVA DEWI LESTARI,,
true,,true,,2021-01-04 09:17:35 +0700 +07,true,ac756e28ef0700fcebeb6c8911bee89a,student,SISTEM INFORMASI,SISTEM INFORMASI,true,true,,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,11. YUSUF AL FARIZI,,
true,,true,,2021-01-04 09:17:39 +0700 +07,true,67a30ac1d2e18a38f8fc21f2139a087c,student,TEKNIK INDUSTRI,TEKNIK INDUSTRI,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,01. ROBIATUL ADAWIYAH,,2. NICKYO PUTRA ARBAATA / FATHUR RAHMAN IRVANSYAH
true,,true,,2021-01-04 09:17:53 +0700 +07,true,8ebdd6b12c470b83cd7025c84f4ef259,student,TEKNIK ELEKTRO,TEKNIK ELEKTRO,true,true,true,1. DEDEN NUR EKA ABDI / AGUNG NUGROHO HIDAYANTO,14. ELVA DEWI LESTARI,2. MOCH. IFAN JULIYANTO / ERIK DWI CAHYONO,
